# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb 18 00:44:33 2017
#
# CONSTRAINT:  where (pl_orbper not null
# CONSTRAINT:  and pl_bmassj not null
# CONSTRAINT:  and pl_radj not null
# CONSTRAINT:  and st_teff not null
# CONSTRAINT:  )
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_name:        Planet Name
#
#rowid,pl_orbper,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_teff,pl_name
87,0.85359159,0.01800,Mass,0.141,7.50000,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,5259.00,CoRoT-7 b
89,6.21229000,0.22000,Mass,0.570,1.60000,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,5080.00,CoRoT-8 b
90,95.27380000,0.84000,Mass,1.050,0.90000,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,5625.00,CoRoT-9 b
94,8.40610000,1.10000,Mass,1.310,0.02000,08h31m03.08s,127.762836,+10d50m51.3s,10.847586,4790.00,EPIC 211351816 b
95,10.13675000,0.10131,Mass,0.384,2.15000,08h25m57.19s,126.488289,+11d30m40.1s,11.511145,6120.00,EPIC 211391664 b
105,1.62893000,0.00510,Mass,0.103,6.00000,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,3270.00,GJ 1132 b
106,1.58040456,0.01970,Mass,0.254,1.49000,17h15m18.92s,258.828837,+04d57m50.1s,4.963920,3170.00,GJ 1214 b
118,3.33664870,0.04300,Mass,0.346,1.18000,07h59m05.84s,119.774349,+15d23m29.4s,15.391492,3652.00,GJ 3470 b
152,4.46529976,0.52500,Mass,1.319,0.28200,22h57m46.83s,344.445104,+38d40m29.8s,38.674953,5980.00,HAT-P-1 b
153,4.88781620,0.08100,Mass,0.422,1.33000,19h50m50.24s,297.709351,+48d04m51.1s,48.080856,4780.00,HAT-P-11 b
154,3.21305980,0.21100,Mass,0.959,0.31920,13h57m33.48s,209.389489,+43d29m36.7s,43.493534,4650.00,HAT-P-12 b
155,2.91625000,0.85100,Mass,1.272,,08h39m31.81s,129.882536,+47d21m07.4s,47.352051,5653.00,HAT-P-13 b
157,4.62766900,2.23200,Mass,1.150,1.82000,17h20m27.88s,260.116169,+38d14m31.8s,38.242165,6600.00,HAT-P-14 b
158,10.86350200,1.94600,Mass,1.072,1.96000,04h24m59.53s,66.248026,+39d27m38.3s,39.460636,5568.00,HAT-P-15 b
159,2.77596000,4.19300,Mass,1.289,2.42000,00h38m17.56s,9.573181,+42d27m47.1s,42.463078,6158.00,HAT-P-16 b
160,10.33852300,0.53400,Mass,1.010,0.64000,21h38m08.74s,324.536396,+30d29m19.4s,30.488716,5246.00,HAT-P-17 b
162,5.50802300,0.19700,Mass,0.995,0.25000,17h05m23.15s,256.346473,+33d00m45.0s,33.012512,4803.00,HAT-P-18 b
163,4.00877800,0.29200,Mass,1.132,0.25000,00h38m04.02s,9.516742,+34d42m41.7s,34.711575,4990.00,HAT-P-19 b
164,5.63347290,9.09000,Mass,1.157,7.29000,16h20m36.36s,245.151489,+41d02m53.1s,41.048084,6290.00,HAT-P-2 b
165,2.87531700,7.24600,Mass,0.867,13.78000,07h27m39.95s,111.916469,+24d20m11.9s,24.336630,4595.00,HAT-P-20 b
166,4.12448100,4.06300,Mass,1.024,4.68000,11h25m05.99s,171.274955,+41d01m40.6s,41.027954,5588.00,HAT-P-21 b
167,3.21222000,2.14700,Mass,1.080,2.11000,10h22m43.61s,155.681719,+50d07m42.0s,50.128345,5302.00,HAT-P-22 b
168,1.21288287,2.07000,Mass,1.224,1.40600,20h24m29.72s,306.123854,+16d45m43.7s,16.762152,5885.00,HAT-P-23 b
169,3.35524000,0.68500,Mass,1.242,0.44000,07h15m18.01s,108.825058,+14d15m45.4s,14.262599,6373.00,HAT-P-24 b
170,3.65283600,0.56700,Mass,1.190,0.42000,03h13m44.50s,48.435419,+25d11m50.7s,25.197405,5500.00,HAT-P-25 b
171,4.23451600,0.05900,Mass,0.565,0.40000,14h12m37.53s,213.156383,+04d03m36.0s,4.059997,5079.00,HAT-P-26 b
172,3.03957700,0.62000,Mass,1.020,,14h51m04.18s,222.767436,+05d56m50.5s,5.947368,5300.00,HAT-P-27 b
173,3.25721500,0.62600,Mass,1.212,0.44000,00h52m00.18s,13.000766,+34d43m42.3s,34.728413,5680.00,HAT-P-28 b
174,5.72318600,0.77800,Mass,1.107,0.71000,02h12m31.47s,33.131142,+51d46m43.5s,51.778759,6087.00,HAT-P-29 b
175,2.89973600,0.59100,Mass,0.827,1.29000,13h44m22.59s,206.094121,+48d01m43.2s,48.028667,5185.00,HAT-P-3 b
176,2.81059500,0.71100,Mass,1.340,0.37000,08h15m47.97s,123.949894,+05d50m12.2s,5.836719,6304.00,HAT-P-30 b
177,5.00542500,2.17100,Mass,1.070,2.18000,18h06m09.05s,271.537705,+26d25m36.0s,26.426662,6065.00,HAT-P-31 b
179,3.47447400,0.76200,Mass,1.686,0.20000,07h32m44.21s,113.184212,+33d50m06.2s,33.835052,6446.00,HAT-P-33 b
180,5.45265400,3.32800,Mass,1.197,2.40000,20h12m46.88s,303.195342,+18d06m17.5s,18.104868,6442.00,HAT-P-34 b
181,3.64670600,1.05400,Mass,1.332,0.55000,08h13m00.18s,123.250764,+04d47m13.3s,4.787023,6096.00,HAT-P-35 b
182,1.32734700,1.83200,Mass,1.264,1.12000,12h33m03.90s,188.266255,+44d54m55.3s,44.915352,5560.00,HAT-P-36 b
183,2.79743600,1.16900,Mass,1.178,0.89000,18h57m11.06s,284.296064,+51d16m08.9s,51.269138,5500.00,HAT-P-37 b
184,4.64038200,0.26700,Mass,0.825,0.59000,02h21m31.98s,35.383234,+32d14m46.1s,32.246151,5330.00,HAT-P-38 b
185,3.54387000,0.59900,Mass,1.571,0.19000,07h35m01.98s,113.758247,+17d49m48.3s,17.830082,6430.00,HAT-P-39 b
186,3.05653600,0.67100,Mass,1.274,0.40300,15h19m57.92s,229.991354,+36d13m46.8s,36.229664,5860.00,HAT-P-4 b
187,4.45724300,0.61500,Mass,1.730,0.15000,22h22m03.09s,335.512861,+45d27m26.6s,45.457378,6080.00,HAT-P-40 b
188,2.69404700,0.80000,Mass,1.685,0.20000,19h49m17.44s,297.322651,+04d40m20.7s,4.672421,6390.00,HAT-P-41 b
189,4.64187800,1.04400,Mass,1.280,0.61000,09h01m22.65s,135.344391,+06d05m50.0s,6.097230,5743.00,HAT-P-42 b
190,3.33268700,0.66200,Mass,1.281,0.39000,08h35m42.18s,128.925737,+10d12m24.0s,10.206653,5645.00,HAT-P-43 b
191,4.30121900,0.35200,Mass,1.242,0.23000,14h12m34.58s,213.144074,+47d00m52.9s,47.014687,5295.00,HAT-P-44 b
193,3.12899200,0.89200,Mass,1.426,0.38000,18h17m29.58s,274.373238,-03d22m51.7s,-3.381036,6330.00,HAT-P-45 b
194,4.46312900,0.49300,Mass,1.284,0.28000,18h01m46.61s,270.444201,-02d58m15.4s,-2.970947,6120.00,HAT-P-46 b
195,2.69154800,1.73000,Mass,1.413,0.75000,20h21m45.94s,305.441397,+26d41m33.5s,26.692652,6820.00,HAT-P-49 b
196,2.78849100,1.06000,Mass,1.260,0.66000,18h17m37.31s,274.405476,+36d37m17.1s,36.621410,5960.00,HAT-P-5 b
197,3.12201090,1.35000,Mass,1.288,0.78000,07h52m15.22s,118.063411,+12d08m21.9s,12.139410,6280.00,HAT-P-50 b
198,4.21802780,0.30900,Mass,1.293,0.17800,01h24m15.65s,21.065190,+32d48m38.8s,32.810764,5449.00,HAT-P-51 b
199,2.75359530,0.81800,Mass,1.009,0.98000,02h50m53.20s,42.721679,+29d01m20.6s,29.022396,5131.00,HAT-P-52 b
200,1.96162410,1.48400,Mass,1.318,0.80000,01h27m29.07s,21.871105,+38d58m05.3s,38.968147,5956.00,HAT-P-53 b
201,3.79984700,0.76000,Mass,0.944,1.11800,06h39m35.52s,99.898000,+25d28m57.1s,25.482540,4390.00,HAT-P-54 b
202,3.58524670,0.58200,Mass,1.182,0.43500,17h37m05.63s,264.273447,+25d43m52.3s,25.731186,5808.00,HAT-P-55 b
203,2.79083270,2.18000,Mass,1.466,0.86000,06h43m23.53s,100.848038,+27d15m08.3s,27.252293,6566.00,HAT-P-56 b
204,2.46529500,1.85000,Mass,1.413,,18h18m58.42s,274.743421,+10d35m50.3s,10.597294,7500.00,HAT-P-57 b
205,3.85298500,1.05700,Mass,1.330,0.55800,23h39m05.81s,354.774222,+42d27m57.5s,42.465973,6570.00,HAT-P-6 b
206,2.60545520,0.52700,Mass,1.890,0.09600,21h03m37.32s,315.905487,+11d59m21.9s,11.989404,5835.00,HAT-P-65 b
207,2.97208600,0.78300,Mass,1.590,0.24200,10h02m17.43s,150.572632,+53d57m03.1s,53.950863,6002.00,HAT-P-66 b
208,2.20473720,1.68200,Mass,1.491,0.62900,19h28m59.35s,292.247310,+47d58m10.2s,47.969513,6441.00,HAT-P-7 b
209,3.07637760,1.52000,Mass,1.500,0.56800,22h52m09.86s,343.041067,+35d26m49.6s,35.447109,6200.00,HAT-P-8 b
210,3.92289000,0.78000,Mass,1.400,0.35000,07h20m40.45s,110.168529,+37d08m26.3s,37.140652,6350.00,HAT-P-9 b
211,3.44645900,1.85500,Mass,1.302,1.03000,11h42m06.08s,175.525336,-23d21m17.4s,-23.354836,5870.00,HATS-1 b
212,3.31284600,0.52600,Mass,0.969,0.70000,19h37m13.64s,294.306813,-22d12m16.1s,-22.204477,5880.00,HATS-10 b
213,3.61916130,0.85000,Mass,1.510,0.29900,19h17m36.18s,289.400759,-22d23m23.7s,-22.389926,6060.00,HATS-11 b
214,3.14283300,2.38000,Mass,1.350,1.19000,19h16m48.58s,289.202397,-19d21m21.3s,-19.355908,6408.00,HATS-12 b
215,3.04404990,0.54300,Mass,1.212,0.37700,21h07m50.75s,316.961465,-26d05m48.0s,-26.096655,5523.00,HATS-13 b
216,2.76676410,1.07100,Mass,1.039,1.19100,20h52m51.71s,313.215479,-25d41m14.4s,-25.687334,5346.00,HATS-14 b
217,1.74748753,2.17000,Mass,1.105,1.97000,20h44m22.07s,311.091961,-19d26m15.0s,-19.437510,5311.00,HATS-15 b
218,2.68650200,3.27000,Mass,1.300,1.86000,23h54m14.09s,358.558710,-30d00m46.8s,-30.012999,5738.00,HATS-16 b
219,16.25461100,1.33800,Mass,0.777,3.50000,12h48m45.55s,192.189799,-47d36m49.3s,-47.613693,5846.00,HATS-17 b
220,0.83784340,1.98000,Mass,1.337,1.02000,11h35m49.78s,173.957397,-29d09m21.6s,-29.156012,5600.00,HATS-18 b
221,1.35413300,1.34500,Mass,1.168,1.05000,11h46m57.38s,176.739094,-22d33m46.8s,-22.562992,5227.00,HATS-2 b
222,4.29864320,0.61300,Mass,1.260,0.38000,13h51m37.87s,207.907777,-23d46m52.2s,-23.781174,5715.00,HATS-25 b
223,3.30238810,0.65000,Mass,1.750,0.15300,09h39m42.45s,144.926863,-28d35m08.1s,-28.585590,6071.00,HATS-26 b
224,4.63703800,0.53000,Mass,1.500,0.18000,12h54m12.61s,193.552560,-46d35m15.8s,-46.587715,6438.00,HATS-27 b
225,3.18107810,0.67200,Mass,1.194,0.48000,18h57m35.92s,284.399685,-49d08m18.5s,-49.138470,5498.00,HATS-28 b
226,4.60587490,0.65300,Mass,1.251,0.41100,19h00m23.14s,285.096424,-54d53m35.5s,-54.893192,5670.00,HATS-29 b
227,3.54785100,1.07100,Mass,1.381,0.51000,20h49m49.79s,312.457440,-24d25m43.7s,-24.428793,6351.00,HATS-3 b
228,3.17435160,0.70600,Mass,1.175,0.54300,00h22m28.49s,5.618693,-59d56m33.2s,-59.942551,5943.00,HATS-30 b
229,3.37796000,0.88000,Mass,1.640,0.24300,12h46m48.67s,191.702789,-24d25m38.5s,-24.427364,6050.00,HATS-31 b
230,2.81265480,0.92000,Mass,1.249,0.58000,23h04m18.02s,346.075073,-21d16m19.0s,-21.271938,5700.00,HATS-32 b
231,2.54955510,1.19200,Mass,1.230,0.79000,19h38m32.07s,294.633636,-55d19m48.4s,-55.330105,5659.00,HATS-33 b
232,2.10616070,0.94100,Mass,1.430,0.40000,00h03m05.88s,0.774485,-62d28m09.6s,-62.469341,5380.00,HATS-34 b
233,1.82099930,1.22200,Mass,1.464,0.48400,19h46m45.18s,296.688263,-63d33m56.2s,-63.565609,6300.00,HATS-35 b
234,2.51672900,1.32300,Mass,1.020,1.55000,06h16m26.90s,94.112075,-22d32m48.8s,-22.546885,5403.00,HATS-4 b
235,4.76338700,0.23700,Mass,0.912,0.39000,04h28m53.49s,67.222871,-21d28m54.9s,-21.481916,5304.00,HATS-5 b
236,3.32527250,0.31900,Mass,0.998,0.39900,05h52m35.23s,88.146797,-19d01m54.0s,-19.031656,3724.00,HATS-6 b
237,3.58389300,0.13800,Mass,0.873,0.25900,19h39m46.02s,294.941746,-25d44m53.9s,-25.748318,5679.00,HATS-8 b
238,1.91530730,0.83700,Mass,1.065,0.85000,19h23m14.42s,290.810104,-20d09m58.7s,-20.166317,5366.00,HATS-9 b
286,83.91510000,10.98000,Msini,1.110,,13h12m19.74s,198.082260,+17d31m01.6s,17.517122,5673.00,HD 114762 b
356,2.87589110,0.36800,Mass,0.813,0.85000,16h30m29.62s,247.623413,+38d20m50.3s,38.347309,6160.00,HD 149026 b
410,21.21663000,3.22000,Mass,1.020,3.78000,02h49m44.49s,42.435364,+71d45m11.6s,71.753235,6100.00,HD 17156 b
603,2.81804900,0.39800,Msini,1.098,,07h39m21.85s,114.841049,-78d16m44.3s,-78.278969,4840.00,HD 63454 b
640,111.43570000,3.94000,Mass,0.980,,09h22m37.57s,140.656540,+50d36m13.4s,50.603722,5645.00,HD 80606 b
674,9.49090000,0.02473,Mass,0.209,3.35000,11h14m33.16s,168.638184,+25d42m37.4s,25.710384,5119.00,HD 97658 b
684,9.12050000,0.03700,Mass,0.226,4.17000,23h35m49.28s,353.955353,+00d26m43.9s,0.445516,5089.00,HIP 116454 b
721,19.30440000,0.08495,Mass,0.343,2.60000,11h28m29.27s,172.121957,+01d41m26.3s,1.690636,5620.00,K2-10 b
722,8.26690200,0.09439,Mass,0.369,,08h21m40.87s,125.420277,+13d29m51.1s,13.497530,5434.00,K2-105 b
723,3.31392000,0.84000,Mass,1.440,0.35000,18h59m56.49s,284.985378,-22d17m36.2s,-22.293402,6030.00,K2-107 b
724,4.73401000,0.18689,Mass,0.471,2.22000,08h13m31.65s,123.381875,+16d25m10.6s,16.419609,5474.00,K2-108 b
739,0.38107800,1.40000,Mass,0.223,,11h17m55.88s,169.482818,+02d37m08.7s,2.619070,3830.00,K2-22 b
744,6.77131500,0.09722,Mass,0.400,1.87000,11h26m03.64s,171.515165,+01d13m50.7s,1.230738,5248.00,K2-27 b
746,3.25883210,0.73000,Mass,1.190,0.53000,04h10m40.96s,62.670647,+24d24m07.4s,24.402043,5358.00,K2-29 b
750,4.09850300,0.57900,Mass,1.039,0.64000,03h29m22.07s,52.341962,+22d17m57.9s,22.299405,5425.00,K2-30 b
751,1.25785000,1.77400,Mass,1.060,,16h21m45.78s,245.440751,-23d32m52.3s,-23.547865,5280.00,K2-31 b
752,8.99213000,0.05191,Mass,0.458,0.67000,16h49m42.26s,252.426083,-19d32m34.2s,-19.542821,5275.00,K2-32 b
753,20.66020000,0.03807,Mass,0.269,2.70000,16h49m42.26s,252.426083,-19d32m34.2s,-19.542821,5275.00,K2-32 c
754,31.71540000,0.03241,Mass,0.306,1.38000,16h49m42.26s,252.426083,-19d32m34.2s,-19.542821,5275.00,K2-32 d
755,5.42486500,3.70000,Mass,0.450,,16h10m14.74s,242.561406,-19d19m09.4s,-19.319273,3540.00,K2-33 b
756,2.99560700,1.76000,Mass,1.350,0.94000,08h30m18.90s,127.578770,+22d14m09.3s,22.235908,6132.00,K2-34 b
764,4.01593000,0.03776,Mass,0.138,17.50000,16h00m08.06s,240.033579,-23d11m21.4s,-23.189288,5757.00,K2-38 b
765,10.56103000,0.03115,Mass,0.216,3.60000,16h00m08.06s,240.033579,-23d11m21.4s,-23.189288,5757.00,K2-38 c
766,4.60497000,0.12522,Mass,0.509,1.17000,22h33m28.41s,338.368392,-09d01m22.0s,-9.022769,4912.00,K2-39 b
791,3.00265000,0.42600,Mass,0.683,1.70000,22h34m25.48s,338.606184,-13d43m54.1s,-13.731702,5500.00,K2-60 b
814,8.19979600,1.90000,Mass,0.205,,03h40m54.82s,55.228426,+12d34m21.4s,12.572612,4970.00,K2-77 b
837,10.13389000,0.03458,Mass,0.310,,08h37m27.06s,129.362743,+18d58m36.1s,18.976685,3471.00,K2-95 b
838,18.24900000,0.97000,Mass,1.290,,13h55m05.70s,208.773747,-05d26m32.9s,-5.442466,5990.00,K2-99 b
839,1.21751400,27.23000,Mass,1.110,24.70000,00h01m26.91s,0.362142,+39d23m01.7s,39.383808,6518.00,KELT-1 b
840,4.16627390,0.67900,Mass,1.399,0.30800,18h58m11.61s,284.548373,-47d00m11.7s,-47.003242,5948.00,KELT-10 b
841,1.71005660,1.28400,Mass,1.743,0.32200,07h13m12.36s,108.301485,-42d24m35.1s,-42.409744,5720.00,KELT-14 b
842,3.32944100,0.91000,Mass,1.443,0.36000,07h49m39.61s,117.415037,-52d07m13.6s,-52.120453,6003.00,KELT-15 b
843,0.96899510,2.75000,Mass,1.415,1.20000,20h57m04.44s,314.268494,+31d39m39.7s,31.661034,6236.00,KELT-16 b
844,3.08017160,1.31000,Mass,1.525,0.46000,08h22m28.21s,125.617523,+13d44m07.1s,13.735319,7454.00,KELT-17 b
845,4.11379120,1.52200,Mass,1.286,,06h10m39.35s,92.663948,+30d57m25.7s,30.957144,6151.00,KELT-2 A b
846,2.70339040,1.47700,Mass,1.345,0.75000,09h54m34.40s,148.643324,+40d23m17.0s,40.388069,6306.00,KELT-3 b
847,2.98959320,0.90200,Mass,1.699,0.22800,10h28m15.01s,157.062546,+25d34m23.5s,25.573189,6206.00,KELT-4 A b
848,7.84558210,0.44200,Msin(i)/sin(i),1.180,,13h03m55.65s,195.981868,+30d38m24.2s,30.640051,6272.00,KELT-6 b
850,2.73477490,1.28000,Mass,1.533,0.44200,05h13m10.93s,78.295532,+33d19m05.4s,33.318165,6789.00,KELT-7 b
851,3.24406000,0.86700,Mass,1.860,0.16700,18h53m13.32s,283.305510,+24d07m38.6s,24.127380,5754.00,KELT-8 b
863,17.85523330,10.00000,Mass,1.430,,19h49m48.90s,297.453731,+41d00m39.6s,41.010991,6820.00,KOI-12 b
864,1.76358800,9.28000,Mass,1.512,3.60000,19h07m53.09s,286.971199,+46d52m06.1s,46.868362,7650.00,KOI-13 b
865,10.95416000,0.02700,Mass,0.337,0.87000,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,5471.00,KOI-142 b
875,0.24010400,0.00140,Mass,0.068,,19h45m25.47s,296.356105,+41d05m33.9s,41.092755,27730.00,KOI-55 b
876,0.34288700,0.00210,Mass,0.077,,19h45m25.47s,296.356105,+41d05m33.9s,41.092755,27730.00,KOI-55 c
877,3.74320800,0.03300,Mass,0.153,10.10000,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,6182.00,KOI-94 b
878,10.42364800,0.04900,Mass,0.385,0.91000,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,6182.00,KOI-94 c
879,22.34298900,0.33400,Mass,1.005,0.36300,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,6182.00,KOI-94 d
880,54.32031000,0.11000,Mass,0.585,0.60000,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,6182.00,KOI-94 e
882,0.83749100,0.01450,Mass,0.132,8.00000,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,5627.00,Kepler-10 b
883,45.29430100,0.05400,Mass,0.210,7.10000,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,5627.00,Kepler-10 c
884,6.88705000,0.02300,Mass,0.118,14.25000,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,5825.00,Kepler-100 b
897,3.48768120,0.16000,Mass,0.510,1.45000,18h53m01.32s,283.255489,+48d21m18.8s,48.355228,5667.00,Kepler-101 b
898,6.02976000,0.01000,Mass,0.112,10.50000,18h53m01.32s,283.255489,+48d21m18.8s,48.355228,5667.00,Kepler-101 c
912,10.31170000,0.01200,Mass,0.105,13.27000,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,4909.00,Kepler-102 d
913,16.14570000,0.02800,Mass,0.198,4.68000,18h45m55.86s,281.482749,+47d12m28.9s,47.208031,4909.00,Kepler-102 e
925,15.96540000,0.03100,Mass,0.301,1.38000,19h15m56.29s,288.984555,+40d03m52.3s,40.064521,5845.00,Kepler-103 b
926,179.61200000,0.11400,Mass,0.459,1.47000,19h15m56.29s,288.984555,+40d03m52.3s,40.064521,5845.00,Kepler-103 c
952,7.12620000,0.01447,Mass,0.117,11.20000,19h11m32.96s,287.887325,+46d16m34.5s,46.276237,5827.00,Kepler-105 c
965,13.57080000,0.03300,Mass,0.223,3.28000,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,5858.00,Kepler-106 c
967,43.84450000,0.03500,Mass,0.228,3.10000,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,5858.00,Kepler-106 e
1020,10.30390000,0.00600,Mass,0.161,1.72000,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,5663.00,Kepler-11 b
1021,13.02410000,0.00900,Mass,0.256,0.66000,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,5663.00,Kepler-11 c
1022,22.68450000,0.02300,Mass,0.278,1.28000,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,5663.00,Kepler-11 d
1023,31.99960000,0.02500,Mass,0.374,0.58000,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,5663.00,Kepler-11 e
1024,46.68880000,0.00600,Mass,0.222,0.69000,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,5663.00,Kepler-11 f
1025,118.38070000,0.07900,Mass,0.297,4.00000,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,5663.00,Kepler-11 g
1063,4.75400000,0.03700,Mass,0.162,10.73000,19h11m59.49s,287.997883,+50d56m39.6s,50.944332,4725.00,Kepler-113 b
1076,8.04100000,0.00900,Mass,0.143,,19h36m29.14s,294.121421,+48d20m58.3s,48.349525,4605.00,Kepler-114 c
